quantity,original_price,unit_price,item_total,channel,channel_campaigns
1,81.8,81.8,81.8,App Mobile,App Mobile
1,81.79,81.79,81.79,E-commerce,Website Banner
1,80.76,80.76,80.76,App Mobile,App Mobile
1,78.52,78.52,78.52,App Mobile,App Mobile
1,78.52,78.52,78.52,App Mobile,App Mobile
1,78.52,78.52,78.52,App Mobile,App Mobile
1,77.9,77.9,77.9,App Mobile,App Mobile
1,76.15,76.15,76.15,App Mobile,App Mobile
1,75.47,75.47,75.47,E-commerce,Website Banner
1,75.47,75.47,75.47,E-commerce,Website Banner
1,75.4,75.4,75.4,E-commerce,Website Banner
1,75.4,75.4,75.4,App Mobile,App Mobile
1,75.17,75.17,75.17,E-commerce,Website Banner
1,75.17,75.17,75.17,E-commerce,Website Banner
1,74.81,74.81,74.81,App Mobile,App Mobile
1,74.28,74.28,74.28,E-commerce,Website Banner
1,74.26,74.26,74.26,App Mobile,App Mobile
1,74.26,74.26,74.26,App Mobile,App Mobile
1,72.58,72.58,72.58,App Mobile,App Mobile
1,71.86,71.86,71.86,App Mobile,App Mobile
1,71.15,71.15,71.15,E-commerce,Website Banner
1,70.82,70.82,70.82,App Mobile,App Mobile
1,70.56,70.56,70.56,App Mobile,App Mobile
1,69.82,69.82,69.82,E-commerce,Website Banner
1,69.82,69.82,69.82,App Mobile,App Mobile
1,69.82,69.82,69.82,App Mobile,App Mobile
1,69.54,69.54,69.54,E-commerce,Website Banner
1,69.48,69.48,69.48,E-commerce,Website Banner
1,69.48,69.48,69.48,App Mobile,App Mobile
1,68.47,68.47,68.47,App Mobile,App Mobile
1,68.47,68.47,68.47,E-commerce,Website Banner
1,68.03,68.03,68.03,E-commerce,Website Banner
1,67.73,67.73,67.73,App Mobile,App Mobile
1,67.37,67.37,67.37,E-commerce,Website Banner
1,66.99,66.99,66.99,App Mobile,App Mobile
1,66.87,66.87,66.87,App Mobile,App Mobile
1,66.68,66.68,66.68,App Mobile,App Mobile
1,66.68,66.68,66.68,App Mobile,App Mobile
1,66.63,66.63,66.63,App Mobile,App Mobile
1,66.52,66.52,66.52,App Mobile,App Mobile
1,66.52,66.52,66.52,E-commerce,Website Banner
1,66.33,66.33,66.33,E-commerce,Website Banner
1,64.5,64.5,64.5,App Mobile,App Mobile
1,64.5,64.5,64.5,App Mobile,App Mobile
1,64.44,64.44,64.44,E-commerce,Website Banner
1,64.44,64.44,64.44,App Mobile,App Mobile
1,64.11,64.11,64.11,E-commerce,Website Banner
1,63.82,63.82,63.82,App Mobile,App Mobile
1,63.79,63.79,63.79,E-commerce,Website Banner
1,63.22,63.22,63.22,E-commerce,Website Banner
1,63.03,63.03,63.03,App Mobile,App Mobile
1,62.92,62.92,62.92,E-commerce,Website Banner
1,62.8,62.8,62.8,App Mobile,App Mobile
1,62.63,62.63,62.63,App Mobile,App Mobile
1,62.27,62.27,62.27,E-commerce,Website Banner
1,62.17,62.17,62.17,App Mobile,App Mobile
1,62.17,62.17,62.17,App Mobile,App Mobile
1,61.95,61.95,61.95,App Mobile,App Mobile
1,61.67,61.67,61.67,App Mobile,App Mobile
1,61.61,61.61,61.61,App Mobile,App Mobile
1,61.61,61.61,61.61,E-commerce,Website Banner
1,61.6,61.6,61.6,App Mobile,App Mobile
1,61.6,61.6,61.6,App Mobile,App Mobile
1,61.22,61.22,61.22,App Mobile,App Mobile
1,60.89,60.89,60.89,E-commerce,Website Banner
1,60.89,60.89,60.89,App Mobile,App Mobile
1,60.89,60.89,60.89,App Mobile,App Mobile
1,60.83,60.83,60.83,E-commerce,Website Banner
1,60.68,60.68,60.68,App Mobile,App Mobile
1,60.68,60.68,60.68,E-commerce,Website Banner
1,60.34,60.34,60.34,App Mobile,App Mobile
1,60.34,60.34,60.34,App Mobile,App Mobile
1,60.34,60.34,60.34,E-commerce,Website Banner
1,60.33,60.33,60.33,App Mobile,App Mobile
1,60.31,60.31,60.31,E-commerce,Website Banner
1,66.87,60.18,60.18,E-commerce,Website Banner
1,60.12,60.12,60.12,App Mobile,App Mobile
1,59.92,59.92,59.92,E-commerce,Website Banner
1,59.78,59.78,59.78,App Mobile,App Mobile
1,59.77,59.77,59.77,E-commerce,Website Banner
1,59.58,59.58,59.58,E-commerce,Website Banner
1,59.56,59.56,59.56,E-commerce,Website Banner
1,59.38,59.38,59.38,App Mobile,App Mobile
1,59.38,59.38,59.38,E-commerce,Website Banner
1,59.32,59.32,59.32,App Mobile,App Mobile
1,59.07,59.07,59.07,App Mobile,App Mobile
1,59.07,59.07,59.07,App Mobile,App Mobile
1,59.07,59.07,59.07,App Mobile,App Mobile
1,58.94,58.94,58.94,E-commerce,Website Banner
1,58.67,58.67,58.67,App Mobile,App Mobile
1,58.34,58.34,58.34,E-commerce,Website Banner
1,58.34,58.34,58.34,E-commerce,Website Banner
1,58.34,58.34,58.34,E-commerce,Website Banner
1,58.26,58.26,58.26,E-commerce,Website Banner
1,58.26,58.26,58.26,E-commerce,Website Banner
1,58.25,58.25,58.25,E-commerce,Website Banner
1,58.11,58.11,58.11,E-commerce,Website Banner
1,58.11,58.11,58.11,App Mobile,App Mobile
1,58.11,58.11,58.11,E-commerce,Website Banner
1,58.09,58.09,58.09,App Mobile,App Mobile
1,57.8,57.8,57.8,E-commerce,Website Banner
1,57.51,57.51,57.51,E-commerce,Website Banner
1,57.48,57.48,57.48,App Mobile,App Mobile
1,57.35,57.35,57.35,App Mobile,App Mobile
1,57.35,57.35,57.35,App Mobile,App Mobile
1,57.19,57.19,57.19,App Mobile,App Mobile
1,57.19,57.19,57.19,E-commerce,Website Banner
1,57.17,57.17,57.17,E-commerce,Website Banner
1,57.11,57.11,57.11,App Mobile,App Mobile
1,57.11,57.11,57.11,E-commerce,Website Banner
